City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,turar ryskulov,42.5333,70.3333,93.51,15,89,12.35,KZ,1723462197
351,motueka,-41.1333,173.0167,44.1,89,4,5.73,NZ,1723462198
352,priargunsk,50.3691,119.1012,76.66,48,2,5.66,RU,1723462199
353,san julian,21.0167,-102.1667,54.5,90,100,2.57,MX,1723462200
354,dobryanka,58.4619,56.4165,58.15,77,100,9.78,RU,1723462201
355,sinan,34.8262,126.1086,77.56,82,9,7.18,KR,1723462202
356,russkiy kameshkir,52.8589,46.0892,67.71,46,39,13.73,RU,1723462203
357,jayapura,-2.5333,140.7,74.12,92,41,8.01,ID,1723462204
358,nyaungdon,17.0333,95.65,84.13,73,97,8.81,MM,1723462205
359,bandar lampung,-5.4254,105.258,75.6,84,99,3.62,ID,1723462206
360,macas,-2.3167,-78.1167,65.57,96,83,1.7,EC,1723462207
361,weno,7.4515,151.8468,85.95,79,40,4.61,FM,1723462208
362,al bawiti,28.3492,28.8659,100.2,19,4,14.47,EG,1723462209
